Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
53959;775.00;285.60;0;0;3;;RUB;RUB
54121;588.00;361.20;0;0;3;;RUB;RUB
54784;600.00;411.60;0;0;3;;RUB;RUB
55209;1363.00;680.40;0;0;3;;RUB;RUB
55215;729.00;268.80;0;0;3;;RUB;RUB
55217;693.00;306.60;0;0;3;;RUB;RUB
55218;1938.00;968.10;0;0;3;;RUB;RUB
55323;9427.00;5376.00;0;0;3;;RUB;RUB
55351;2202.00;1157.10;0;0;3;;RUB;RUB
55368;2609.00;1371.30;0;0;3;;RUB;RUB
55376;1951.00;974.40;0;0;3;;RUB;RUB
55378;2133.00;1121.40;0;0;3;;RUB;RUB
55644;1101.00;487.20;0;0;3;;RUB;RUB
55645;1076.00;537.60;0;0;3;;RUB;RUB
55647;1013.00;506.10;0;0;3;;RUB;RUB
55672;8093.00;4494.00;0;0;3;;RUB;RUB
55699;803.00;357.00;0;0;3;;RUB;RUB
55700;837.00;371.70;0;0;3;;RUB;RUB
55704;725.00;321.30;0;0;3;;RUB;RUB
55705;937.00;415.80;0;0;3;;RUB;RUB
55707;2016.00;1060.50;0;0;3;;RUB;RUB
55841;730.00;323.40;0;0;3;;RUB;RUB
55843;781.00;346.50;0;0;3;;RUB;RUB
55845;14408.00;8232.00;0;0;3;;RUB;RUB
56116;23884.00;15393.00;0;0;3;;RUB;RUB
56254;5391.00;2982.00;0;0;3;;RUB;RUB
56309;737.00;273.00;0;0;3;;RUB;RUB
56318;1086.00;480.90;0;0;3;;RUB;RUB
56338;1351.00;674.10;0;0;3;;RUB;RUB
56340;1331.00;663.60;0;0;3;;RUB;RUB
56343;8458.00;4683.00;0;0;3;;RUB;RUB
56554;1961.00;1031.10;0;0;3;;RUB;RUB
56819;736.00;270.90;0;0;3;;RUB;RUB
56907;732.00;323.40;0;0;3;;RUB;RUB
56908;736.00;325.50;0;0;3;;RUB;RUB
56919;564.00;207.90;0;0;3;;RUB;RUB
56970;769.00;283.50;0;0;3;;RUB;RUB
56974;1200.00;598.50;0;0;3;;RUB;RUB
57086;3456.00;1818.60;0;0;3;;RUB;RUB
57091;2592.00;1362.90;0;0;3;;RUB;RUB
57094;2007.00;1056.30;0;0;3;;RUB;RUB
57101;893.00;396.90;0;0;3;;RUB;RUB
57105;728.00;268.80;0;0;3;;RUB;RUB
57250;802.00;296.10;0;0;3;;RUB;RUB
57253;677.00;300.30;0;0;3;;RUB;RUB
57908;2873.00;1509.90;0;0;3;;RUB;RUB
57912;4009.00;2226.00;0;0;3;;RUB;RUB
58022;1825.00;911.40;0;0;3;;RUB;RUB
58099;4583.00;2541.00;0;0;3;;RUB;RUB
58183;5346.00;2961.00;0;0;3;;RUB;RUB
58281;1516.00;756.00;1;2;1;телесный;RUB;RUB
58566;4693.00;2604.00;0;0;3;;RUB;RUB
58785;3795.00;1997.10;0;0;3;;RUB;RUB
58798;2063.00;1085.70;0;0;3;;RUB;RUB
59061;791.00;350.70;0;0;3;;RUB;RUB
59203;4798.00;2646.00;0;0;3;;RUB;RUB
59204;5606.00;3108.00;0;0;3;;RUB;RUB
59539;2619.00;1377.60;0;0;3;;RUB;RUB
59586;2020.00;1062.60;0;0;3;;RUB;RUB
59788;722.00;319.20;0;0;3;;RUB;RUB
60047;2444.00;1285.20;0;0;3;;RUB;RUB
60350;1426.00;711.90;1;1;1;телесный;RUB;RUB
60361;5363.00;2961.00;0;0;3;;RUB;RUB
60362;6525.00;3612.00;0;0;3;;RUB;RUB
60367;844.00;373.80;0;0;3;;RUB;RUB
